model,model_display,timing_mode,system,temperature_K,n_steps,elapsed_seconds,seconds_per_step,milliseconds_per_step,engine,source_file
eq-v2-m-omat-force-only,EquiformerV2,Standard,CsSnI3_500K_Ivor_VASP,500.0,14758,2697.85,0.182806,182.80599999999998,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/CsSnI3_500K_Ivor_VASP/md_timing_eq-v2-M-omat-force-only.csv
eq-v2-m-omat-force-only,EquiformerV2,Standard,H_1050K_Rupp_QE,1050.0,1784,1061.27,0.594882,594.8820000000001,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/H_1050K_Rupp_QE/md_timing_eq-v2-M-omat-force-only.csv
eq-v2-m-omat-force-only,EquiformerV2,Standard,MAPbBr3_300K_Ivor_VASP,300.0,60000,8596.92,0.143282,143.28199999999998,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/MAPbBr3_300K_Ivor_VASP/md_timing_eq-v2-M-omat-force-only.csv
eq-v2-m-omat-force-only,EquiformerV2,Standard,TiSe2_400K_Ivor_VASP,400.0,14716,2357.28,0.160185,160.185,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/TiSe2_400K_Ivor_VASP/md_timing_eq-v2-M-omat-force-only.csv
eq-v2-m-omat-force-only,EquiformerV2,Standard,anthracene_293K_Sharma_S,293.0,16000,1490.7,0.093168,93.168,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/anthracene_293K_Sharma_S/md_timing_eq-v2-M-omat-force-only.csv
eq-v2-m-omat-force-only,EquiformerV2,Standard,bulkAg_600K_Kapil,600.0,24881,3855.64,0.154963,154.963,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/bulkAg_600K_Kapil/md_timing_eq-v2-M-omat-force-only.csv
eq-v2-m-omat-force-only,EquiformerV2,Standard,bulkAu_1500K_Kapil,1500.0,20162,4989.48,0.247469,247.469,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/bulkAu_1500K_Kapil/md_timing_eq-v2-M-omat-force-only.csv
eq-v2-m-omat-force-only,EquiformerV2,Standard,bulkCuAu_500K-Artrith_VASP,500.0,1105,199.39,0.180446,180.446,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/bulkCuAu_500K-Artrith_VASP/md_timing_eq-v2-M-omat-force-only.csv
eq-v2-m-omat-force-only,EquiformerV2,Standard,bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP,1500.0,2718,547.08,0.201282,201.28199999999998,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP/md_timing_eq-v2-M-omat-force-only.csv
eq-v2-m-omat-force-only,EquiformerV2,Standard,bulkCu_1000K_Kapil,1000.0,36007,5728.04,0.159081,159.081,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/bulkCu_1000K_Kapil/md_timing_eq-v2-M-omat-force-only.csv
eq-v2-m-omat-force-only,EquiformerV2,Standard,bulkLiMgAlZnSn_600K_J_Schmidt_VASP,600.0,3015,1721.12,0.570852,570.852,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/bulkLiMgAlZnSn_600K_J_Schmidt_VASP/md_timing_eq-v2-M-omat-force-only.csv
eq-v2-m-omat-force-only,EquiformerV2,Standard,bulkLiMgAlZnSn_900K_J_Schmidt_VASP,900.0,2181,1243.32,0.570069,570.0690000000001,torch-sim-0.5.2+fairchem-1.10.0-force-only,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim-eager/bulkLiMgAlZnSn_900K_J_Schmidt_VASP/md_timing_eq-v2-M-omat-force-only.csv
