model,model_display,timing_mode,n_systems,median_ms_per_step,mean_ms_per_step,std_ms_per_step,min_ms_per_step,max_ms_per_step,geometric_mean_ms_per_step
orb-v3-direct-force-only-eager,ORB-v3 direct,Standard,19,16.691000000000003,18.70157894736842,5.126627040546785,14.675,30.866,18.1803611355311
orb-v3-direct-force-only,ORB-v3 direct,Accelerated,19,16.01,17.908947368421053,4.757419497464334,14.561,29.2,17.437707566655238
orb-v2-force-only-eager,ORB-v2,Standard,19,18.671,21.73,7.612441541465012,16.424999999999997,39.542,20.789676380506183
orb-v2-force-only,ORB-v2,Accelerated,19,16.63,19.091105263157896,5.8191040060088755,15.362,32.518,18.44916361906358
mattersim-v1-5m-compile-force-only,mattersim-v1-5m-compile,Accelerated,19,20.535,44.443894736842104,98.96129700089533,15.383000000000001,452.27099999999996,24.739666578840698
mattersim-v1-5m-force-only,MatterSim-v1.0.0-5M,Standard,19,28.438000000000002,66.76389473684212,161.3804116506829,22.586,732.4040000000001,34.32073282814798
mace-mp-0,MACE-MP-0,Standard,18,29.794,35.53583333333333,15.744929948660786,23.314,76.292,33.25255982311872
mace-mp-0,MACE-MP-0,Compile,18,17.3845,28.237555555555556,16.221378911512108,12.683,49.709,24.154186610947473
mace-mpa-0,MACE-MPA-0,Standard,19,30.977,63.12342105263158,114.50744325798013,24.717,531.412,40.13238229691332
mace-mpa-0,MACE-MPA-0,Compile,19,19.5,33.848473684210525,22.97097852936377,13.058,95.769,27.61240453474223
grace-mp,GRACE-2L-MPtrj,Accelerated,19,31.758000000000003,53.01573684210526,91.54437789026582,18.833,427.692,34.8588037460489
nequip-oam-l-force-only,NequIP-OAM-L,Standard,18,85.43100000000001,104.31327777777778,58.022145859100824,50.361999999999995,249.479,93.64142379617488
nequip-oam-l-force-only,NequIP-OAM-L,Accelerated,18,13.4085,14.6815,4.069787973231384,11.463,25.32,14.275475524359747
orb-v3-force-only-eager,ORB-v3 conservative,Standard,19,40.584,55.702052631578944,45.750415818964825,25.942,227.102,47.14183918730511
orb-v3-force-only,ORB-v3 conservative,Accelerated,19,36.717,51.58568421052632,42.577291276574805,24.157999999999998,211.68,43.68080690351412
mace-mh-omat,MACE-MH-1-OMAT,Standard,19,48.685,93.05415789473685,141.04131766072553,34.061,656.975,63.25698373296713
mace-mh-omat,MACE-MH-1-OMAT,Compile,19,28.323999999999998,74.18305263157895,62.8118301308437,14.753,170.51,48.40823437043026
grace-oam-force-only-eager,GRACE-2L-OAM,Standard,17,199.441,221.22235294117647,52.069131757622465,184.288,355.676,216.75494703552354
grace-oam-force-only-compiled,GRACE-2L-OAM,Accelerated,19,16.711,24.82542105263158,30.467276777836737,11.754000000000001,149.005,19.463753468614534
eq-v2-m-omat-force-only,EquiformerV2,Standard,18,159.63299999999998,227.63694444444445,165.6718001849625,93.168,594.8820000000001,190.61673257811518
pet-omat-xl-force-only-torchscript,PET-OMAT-XL,Accelerated,19,183.79899999999998,281.1504210526316,239.65200287901615,105.034,968.284,225.299415185043
pet-oam-xl-force-only-eager,PET-OAM-XL,Standard,12,209.885,360.8465833333334,298.8066688328633,105.99799999999999,1019.8290000000001,279.97974400256356
pet-oam-xl-force-only-torchscript,PET-OAM-XL,Accelerated,19,182.222,279.8894736842105,239.4482787178263,102.771,966.496,223.9279684616267
uma-m-omat-turbo-force-only,uma-m-omat-turbo,Accelerated,14,231.5845,270.0798571428571,168.1158782140174,95.067,642.5450000000001,233.32120730650695
uma-m-omat-compile-force-only,uma-m-omat-compile,Accelerated,18,297.00350000000003,361.15,225.788753280062,124.52000000000001,920.4350000000001,313.1655817477953
esen-30m-oam-force-only,eSEN-30M-OAM,Standard,18,323.4625,384.32877777777776,262.8646797833341,39.098,1019.298,309.2760885073952
