model,model_display,timing_mode,system,temperature_K,n_steps,elapsed_seconds,seconds_per_step,milliseconds_per_step,engine,source_file,n_atoms,structure_source_file
esen-30m-oam,eSEN-30M-OAM,Standard,anthracene_293K_Sharma_S,293.0,44000,10174.63,0.231242,231.242,torch-sim-0.5.2,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/anthracene_293K_Sharma_S/md_timing_eSEN-30M-OAM.csv,48,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/anthracene_293K_Sharma_S/nvt_eSEN-30M-OAM.h5
esen-30m-oam,eSEN-30M-OAM,Standard,bulkAg_600K_Kapil,600.0,22000,6397.79,0.290809,290.80899999999997,torch-sim-0.5.2,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAg_600K_Kapil/md_timing_eSEN-30M-OAM.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAg_600K_Kapil/nvt_eSEN-30M-OAM.h5
esen-30m-oam,eSEN-30M-OAM,Standard,bulkCuAu_500K-Artrith_VASP,500.0,22000,8467.25,0.384875,384.875,torch-sim-0.5.2,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuAu_500K-Artrith_VASP/md_timing_eSEN-30M-OAM.csv,128,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuAu_500K-Artrith_VASP/nvt_grace-mp.h5
esen-30m-oam,eSEN-30M-OAM,Standard,bulkAu_1500K_Kapil,1500.0,22000,10310.54,0.468661,468.661,torch-sim-0.5.2,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAu_1500K_Kapil/md_timing_eSEN-30M-OAM.csv,192,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAu_1500K_Kapil/nvt_eSEN-30M-OAM.h5
grace-mp,GRACE-2L-MPtrj,Standard,anthracene_293K_Sharma_S,293.0,44000,841.61,0.019127,19.127000000000002,torch-sim-0.6.1+xla-dlpack,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/anthracene_293K_Sharma_S/md_timing_grace-mp.csv,48,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/anthracene_293K_Sharma_S/nvt_grace-mp.h5
grace-mp,GRACE-2L-MPtrj,Standard,pentacene_295K_Sharma_S,295.0,44000,1389.23,0.031573,31.572999999999997,torch-sim-0.6.1+xla-dlpack,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/pentacene_295K_Sharma_S/md_timing_grace-mp.csv,72,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/pentacene_295K_Sharma_S/nvt_grace-mp.h5
grace-mp,GRACE-2L-MPtrj,Standard,picene_295K_Sharma_S,295.0,44000,1371.14,0.031162,31.162,torch-sim-0.6.1+xla-dlpack,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/picene_295K_Sharma_S/md_timing_grace-mp.csv,72,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/picene_295K_Sharma_S/nvt_grace-mp.h5
grace-mp,GRACE-2L-MPtrj,Standard,MAPbBr3_300K_Ivor_VASP,300.0,44000,952.45,0.021646,21.645999999999997,torch-sim-0.6.1+xla-dlpack,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/MAPbBr3_300K_Ivor_VASP/md_timing_grace-mp.csv,96,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/MAPbBr3_300K_Ivor_VASP/nvt_grace-mp.h5
grace-mp,GRACE-2L-MPtrj,Standard,bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP,300.0,22000,531.4,0.024155,24.155,torch-sim-0.6.1+xla-dlpack,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP/md_timing_grace-mp.csv,96,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP/nvt_grace-mp.h5
grace-mp,GRACE-2L-MPtrj,Standard,bulkAg_600K_Kapil,600.0,22000,546.18,0.024826,24.826,torch-sim-0.6.1+xla-dlpack,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAg_600K_Kapil/md_timing_grace-mp.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAg_600K_Kapil/nvt_grace-mp.h5
