r_A,g_r
5.774999856948853302e-03,0.000000000000000000e+00
1.732499957084655817e-02,0.000000000000000000e+00
2.887499928474426825e-02,0.000000000000000000e+00
4.042499899864196444e-02,0.000000000000000000e+00
5.197499871253967452e-02,0.000000000000000000e+00
6.352499842643738459e-02,0.000000000000000000e+00
7.507499814033508079e-02,0.000000000000000000e+00
8.662499785423279086e-02,0.000000000000000000e+00
9.817499756813050094e-02,0.000000000000000000e+00
1.097249972820282110e-01,0.000000000000000000e+00
1.212749969959259211e-01,0.000000000000000000e+00
1.328249967098236173e-01,0.000000000000000000e+00
1.443749964237213135e-01,0.000000000000000000e+00
1.559249961376190097e-01,0.000000000000000000e+00
1.674749958515167336e-01,0.000000000000000000e+00
1.790249955654144298e-01,0.000000000000000000e+00
1.905749952793121538e-01,0.000000000000000000e+00
2.021249949932098500e-01,0.000000000000000000e+00
2.136749947071075739e-01,0.000000000000000000e+00
2.252249944210052701e-01,0.000000000000000000e+00
2.367749941349029386e-01,0.000000000000000000e+00
2.483249938488006625e-01,0.000000000000000000e+00
2.598749935626983865e-01,0.000000000000000000e+00
2.714249932765960827e-01,0.000000000000000000e+00
2.829749929904937789e-01,0.000000000000000000e+00
2.945249927043914751e-01,0.000000000000000000e+00
3.060749924182892268e-01,0.000000000000000000e+00
3.176249921321869230e-01,0.000000000000000000e+00
3.291749918460845636e-01,0.000000000000000000e+00
3.407249915599823709e-01,0.000000000000000000e+00
3.522749912738799560e-01,0.000000000000000000e+00
3.638249909877777633e-01,0.000000000000000000e+00
3.753749907016754039e-01,0.000000000000000000e+00
3.869249904155731556e-01,0.000000000000000000e+00
3.984749901294708518e-01,0.000000000000000000e+00
4.100249898433686035e-01,0.000000000000000000e+00
4.215749895572662442e-01,0.000000000000000000e+00
4.331249892711640515e-01,0.000000000000000000e+00
4.446749889850616366e-01,0.000000000000000000e+00
4.562249886989594438e-01,0.000000000000000000e+00
4.677749884128570845e-01,0.000000000000000000e+00
4.793249881267547252e-01,0.000000000000000000e+00
4.908749878406525324e-01,0.000000000000000000e+00
5.024249875545501176e-01,0.000000000000000000e+00
5.139749872684479248e-01,0.000000000000000000e+00
5.255249869823455100e-01,0.000000000000000000e+00
5.370749866962433172e-01,0.000000000000000000e+00
5.486249864101410134e-01,0.000000000000000000e+00
5.601749861240388206e-01,0.000000000000000000e+00
5.717249858379364058e-01,0.000000000000000000e+00
5.832749855518342130e-01,0.000000000000000000e+00
5.948249852657317982e-01,0.000000000000000000e+00
6.063749849796296054e-01,0.000000000000000000e+00
