r_A,g_r
3.030000030994415509e-03,0.000000000000000000e+00
9.090000092983245225e-03,0.000000000000000000e+00
1.515000015497207538e-02,0.000000000000000000e+00
2.121000021696090726e-02,0.000000000000000000e+00
2.727000027894974088e-02,0.000000000000000000e+00
3.333000034093856756e-02,0.000000000000000000e+00
3.939000040292739424e-02,0.000000000000000000e+00
4.545000046491623480e-02,0.000000000000000000e+00
5.151000052690506148e-02,0.000000000000000000e+00
5.757000058889390204e-02,0.000000000000000000e+00
6.363000065088272872e-02,0.000000000000000000e+00
6.969000071287155540e-02,0.000000000000000000e+00
7.575000077486038208e-02,0.000000000000000000e+00
8.181000083684920876e-02,0.000000000000000000e+00
8.787000089883804932e-02,0.000000000000000000e+00
9.393000096082688988e-02,0.000000000000000000e+00
9.999000102281568880e-02,0.000000000000000000e+00
1.060500010848045294e-01,0.000000000000000000e+00
1.121100011467933699e-01,0.000000000000000000e+00
1.181700012087821966e-01,0.000000000000000000e+00
1.242300012707710233e-01,0.000000000000000000e+00
1.302900013327598638e-01,0.000000000000000000e+00
1.363500013947487044e-01,0.000000000000000000e+00
1.424100014567375172e-01,0.000000000000000000e+00
1.484700015187263578e-01,0.000000000000000000e+00
1.545300015807151983e-01,0.000000000000000000e+00
1.605900016427039834e-01,0.000000000000000000e+00
1.666500017046928517e-01,0.000000000000000000e+00
1.727100017666816645e-01,0.000000000000000000e+00
1.787700018286705328e-01,0.000000000000000000e+00
1.848300018906593456e-01,0.000000000000000000e+00
1.908900019526481584e-01,0.000000000000000000e+00
1.969500020146369990e-01,0.000000000000000000e+00
2.030100020766258118e-01,0.000000000000000000e+00
2.090700021386146523e-01,0.000000000000000000e+00
2.151300022006034929e-01,0.000000000000000000e+00
2.211900022625923334e-01,0.000000000000000000e+00
2.272500023245811740e-01,0.000000000000000000e+00
2.333100023865699868e-01,0.000000000000000000e+00
2.393700024485588274e-01,0.000000000000000000e+00
2.454300025105476402e-01,0.000000000000000000e+00
2.514900025725364530e-01,0.000000000000000000e+00
2.575500026345253213e-01,0.000000000000000000e+00
2.636100026965141341e-01,0.000000000000000000e+00
2.696700027585030024e-01,0.000000000000000000e+00
2.757300028204918152e-01,0.000000000000000000e+00
2.817900028824806280e-01,0.000000000000000000e+00
2.878500029444694408e-01,0.000000000000000000e+00
2.939100030064583091e-01,0.000000000000000000e+00
2.999700030684471219e-01,0.000000000000000000e+00
3.060300031304359347e-01,0.000000000000000000e+00
3.120900031924248030e-01,0.000000000000000000e+00
3.181500032544136713e-01,0.000000000000000000e+00
3.242100033164024842e-01,0.000000000000000000e+00
3.302700033783912414e-01,0.000000000000000000e+00
3.363300034403801098e-01,0.000000000000000000e+00
3.423900035023689226e-01,0.000000000000000000e+00
3.484500035643577909e-01,0.000000000000000000e+00
3.545100036263466037e-01,0.000000000000000000e+00
3.605700036883354720e-01,0.000000000000000000e+00
3.666300037503242293e-01,0.000000000000000000e+00
3.726900038123130976e-01,0.000000000000000000e+00
3.787500038743019104e-01,0.000000000000000000e+00
3.848100039362907232e-01,0.000000000000000000e+00
3.908700039982795915e-01,0.000000000000000000e+00
3.969300040602684598e-01,0.000000000000000000e+00
4.029900041222572726e-01,0.000000000000000000e+00
4.090500041842460854e-01,0.000000000000000000e+00
4.151100042462348982e-01,0.000000000000000000e+00
