r_A,g_r
5.054405927658081089e-03,0.000000000000000000e+00
1.516321778297424414e-02,0.000000000000000000e+00
2.527202963829040805e-02,0.000000000000000000e+00
3.538084149360656849e-02,0.000000000000000000e+00
4.548965334892272894e-02,0.000000000000000000e+00
5.559846520423890326e-02,0.000000000000000000e+00
6.570727705955506370e-02,0.000000000000000000e+00
7.581608891487122415e-02,0.000000000000000000e+00
8.592490077018738459e-02,0.000000000000000000e+00
9.603371262550354504e-02,0.000000000000000000e+00
1.061425244808197055e-01,0.000000000000000000e+00
1.162513363361358798e-01,0.000000000000000000e+00
1.263601481914520264e-01,0.000000000000000000e+00
1.364689600467682007e-01,0.000000000000000000e+00
1.465777719020843750e-01,0.000000000000000000e+00
1.566865837574005216e-01,0.000000000000000000e+00
1.667953956127166681e-01,0.000000000000000000e+00
1.769042074680328425e-01,0.000000000000000000e+00
1.870130193233490168e-01,0.000000000000000000e+00
1.971218311786651634e-01,0.000000000000000000e+00
2.072306430339813099e-01,0.000000000000000000e+00
2.173394548892974842e-01,0.000000000000000000e+00
2.274482667446136586e-01,0.000000000000000000e+00
2.375570785999298051e-01,0.000000000000000000e+00
2.476658904552460072e-01,0.000000000000000000e+00
2.577747023105621538e-01,0.000000000000000000e+00
2.678835141658783003e-01,0.000000000000000000e+00
2.779923260211945024e-01,0.000000000000000000e+00
2.881011378765106490e-01,0.000000000000000000e+00
2.982099497318267955e-01,0.000000000000000000e+00
3.083187615871429421e-01,0.000000000000000000e+00
3.184275734424590887e-01,0.000000000000000000e+00
3.285363852977752908e-01,0.000000000000000000e+00
3.386451971530913818e-01,0.000000000000000000e+00
3.487540090084076394e-01,0.000000000000000000e+00
3.588628208637237305e-01,0.000000000000000000e+00
3.689716327190399880e-01,0.000000000000000000e+00
3.790804445743560791e-01,0.000000000000000000e+00
3.891892564296722812e-01,0.000000000000000000e+00
3.992980682849883722e-01,0.000000000000000000e+00
4.094068801403045743e-01,0.000000000000000000e+00
4.195156919956206654e-01,0.000000000000000000e+00
4.296245038509369230e-01,0.000000000000000000e+00
4.397333157062530140e-01,0.000000000000000000e+00
4.498421275615692716e-01,0.000000000000000000e+00
4.599509394168853627e-01,0.000000000000000000e+00
4.700597512722015647e-01,0.000000000000000000e+00
4.801685631275177113e-01,0.000000000000000000e+00
4.902773749828338579e-01,0.000000000000000000e+00
5.003861868381500599e-01,0.000000000000000000e+00
5.104949986934661510e-01,0.000000000000000000e+00
5.206038105487824641e-01,0.000000000000000000e+00
5.307126224040985552e-01,0.000000000000000000e+00
5.408214342594147572e-01,0.000000000000000000e+00
5.509302461147308483e-01,2.295932971167942167e-04
5.610390579700470504e-01,2.213944238294289382e-04
5.711478698253631414e-01,9.613215430442589816e-04
5.812566816806794545e-01,1.959482384390934251e-03
5.913654935359955456e-01,3.387591292522820763e-03
6.014743053913117476e-01,1.396555650306580999e-02
6.115831172466278387e-01,3.605161515004105116e-02
6.216919291019440408e-01,7.176086511869948781e-02
6.318007409572601318e-01,1.307606021917590011e-01
6.419095528125762229e-01,2.223148935202003684e-01
6.520183646678925360e-01,3.521036623720394942e-01
6.621271765232086270e-01,5.331340447532013638e-01
6.722359883785247181e-01,7.685062113645623194e-01
6.823448002338410312e-01,1.024898708682911552e+00
6.924536120891572333e-01,1.276565618703064064e+00
7.025624239444733243e-01,1.517240179317258963e+00
7.126712357997894154e-01,1.773342527306665195e+00
7.227800476551056175e-01,1.935986953128420174e+00
7.328888595104219306e-01,2.017946411218053626e+00
7.429976713657380216e-01,2.082829882895832263e+00
7.531064832210541127e-01,2.019918897354869625e+00
7.632152950763703148e-01,1.914903769659547006e+00
7.733241069316865168e-01,1.755339926063661737e+00
7.834329187870026079e-01,1.573572865350628458e+00
7.935417306423186989e-01,1.344386028892891938e+00
8.036505424976349010e-01,1.160148722154670242e+00
8.137593543529511031e-01,9.729655226945042035e-01
8.238681662082671942e-01,7.915346670071043977e-01
8.339769780635832852e-01,6.336406643676636419e-01
8.440857899188995983e-01,4.825489607803901126e-01
8.541946017742158004e-01,3.746831954807967047e-01
8.643034136295318914e-01,2.818706209494040715e-01
8.744122254848479825e-01,2.262645932099481005e-01
8.845210373401641846e-01,1.694158633765497635e-01
8.946298491954804977e-01,1.300404484722584852e-01
9.047386610507965887e-01,1.047599839283785139e-01
9.148474729061126798e-01,8.251567774092483099e-02
9.249562847614288819e-01,7.106950957937972768e-02
9.350650966167450839e-01,5.826316535175725397e-02
9.451739084720611750e-01,5.386426215940293138e-02
9.552827203273772660e-01,5.017207857076194655e-02
9.653915321826935791e-01,5.234216985583199644e-02
9.755003440380096702e-01,5.591327387368116852e-02
9.856091558933257613e-01,6.244822961408311862e-02
9.957179677486420744e-01,6.586092007968777362e-02
1.005826779603958165e+00,8.224677988975610810e-02
1.015935591459274256e+00,9.560749522393985345e-02
1.026044403314590348e+00,1.008489207581093755e-01
1.036153215169906661e+00,1.125219019226045419e-01
1.046262027025222974e+00,1.370006358262392532e-01
1.056370838880539065e+00,1.538441779018417666e-01
1.066479650735855156e+00,1.792794638494872028e-01
1.076588462591171247e+00,1.947179052506325114e-01
1.086697274446487560e+00,2.086978600883861446e-01
1.096806086301803651e+00,2.329356260643260512e-01
1.106914898157119742e+00,2.567122445021841060e-01
1.117023710012436055e+00,2.794263621154393085e-01
1.127132521867752146e+00,3.075413910921063199e-01
1.137241333723068237e+00,3.388469295297993344e-01
1.147350145578384328e+00,3.699062610518669691e-01
1.157458957433700641e+00,3.974928100035422518e-01
1.167567769289016955e+00,4.321241929049046138e-01
1.177676581144333046e+00,4.603878610762993651e-01
1.187785392999649137e+00,4.932372358326749806e-01
1.197894204854965228e+00,5.187248226543919039e-01
1.208003016710281541e+00,5.486424125131759144e-01
1.218111828565597632e+00,5.784623781671823783e-01
1.228220640420913723e+00,6.139057311289147778e-01
1.238329452276229814e+00,6.564358903572677928e-01
1.248438264131546127e+00,6.762528867715673631e-01
1.258547075986862218e+00,7.091881191442472865e-01
1.268655887842178309e+00,7.378527849363438751e-01
1.278764699697494400e+00,7.805058234683428520e-01
1.288873511552810713e+00,8.031089828972300948e-01
1.298982323408126804e+00,8.325986514830804319e-01
1.309091135263443118e+00,8.659853405324176023e-01
1.319199947118759209e+00,9.105684678661603026e-01
1.329308758974075300e+00,9.378859699261463678e-01
1.339417570829391391e+00,9.659873396167411030e-01
1.349526382684707482e+00,9.877110233426444896e-01
1.359635194540024017e+00,1.009852894950179270e+00
1.369744006395340108e+00,1.033966008607475118e+00
1.379852818250656199e+00,1.059956903945928675e+00
1.389961630105972512e+00,1.086293450982674269e+00
1.400070441961288603e+00,1.114303572774594686e+00
1.410179253816604694e+00,1.137932417694796694e+00
1.420288065671920785e+00,1.142053600421333304e+00
1.430396877527236876e+00,1.151173300061581362e+00
1.440505689382553189e+00,1.172737734511201557e+00
1.450614501237869280e+00,1.203062993696175864e+00
1.460723313093185372e+00,1.224404818414127849e+00
1.470832124948501907e+00,1.234127943330320498e+00
1.480940936803817998e+00,1.252655414664984201e+00
1.491049748659134089e+00,1.267747583552075286e+00
1.501158560514450180e+00,1.280960291720902200e+00
1.511267372369766271e+00,1.289298140364699918e+00
1.521376184225082584e+00,1.308246471483539564e+00
1.531484996080398675e+00,1.336656323221987464e+00
1.541593807935714766e+00,1.348830501845819096e+00
1.551702619791031079e+00,1.361168350457794052e+00
1.561811431646347170e+00,1.358604233579778553e+00
1.571920243501663261e+00,1.356853482609891914e+00
1.582029055356979352e+00,1.359004188789531220e+00
1.592137867212295443e+00,1.364496245258244977e+00
1.602246679067611757e+00,1.364475640972367065e+00
1.612355490922927848e+00,1.379748668297279934e+00
1.622464302778244161e+00,1.378546259070407176e+00
1.632573114633560252e+00,1.381111313460044565e+00
1.642681926488876343e+00,1.390456192587467887e+00
1.652790738344192434e+00,1.394584464788512168e+00
1.662899550199508525e+00,1.388744201227348540e+00
1.673008362054825060e+00,1.387959811977041769e+00
1.683117173910141151e+00,1.390648716659159012e+00
1.693225985765457242e+00,1.388058011156800164e+00
1.703334797620773555e+00,1.398329116031714392e+00
1.713443609476089646e+00,1.391527419946852140e+00
1.723552421331405737e+00,1.391756024270017100e+00
1.733661233186721828e+00,1.396719072346132462e+00
1.743770045042037919e+00,1.387906111474278559e+00
1.753878856897354233e+00,1.382329338300886334e+00
1.763987668752670324e+00,1.377639925843835433e+00
1.774096480607986415e+00,1.377085666491864036e+00
1.784205292463302950e+00,1.369920900209614212e+00
1.794314104318619041e+00,1.364886039103016202e+00
1.804422916173935132e+00,1.357737337734259864e+00
1.814531728029251223e+00,1.351435323846283953e+00
1.824640539884567314e+00,1.345869519601790021e+00
1.834749351739883627e+00,1.334236932828787525e+00
1.844858163595199718e+00,1.326791016288971781e+00
1.854966975450515809e+00,1.320734041608230047e+00
1.865075787305832122e+00,1.310933604676955078e+00
1.875184599161148213e+00,1.296302575628571319e+00
1.885293411016464304e+00,1.297133771308544903e+00
1.895402222871780396e+00,1.269620098647126882e+00
1.905511034727096487e+00,1.261856594172203305e+00
1.915619846582412800e+00,1.252277236948944328e+00
1.925728658437728891e+00,1.238234301817304761e+00
1.935837470293045204e+00,1.232216765093332222e+00
1.945946282148361295e+00,1.216208766940868102e+00
1.956055094003677386e+00,1.204135096742104949e+00
1.966163905858993477e+00,1.186917803408960692e+00
1.976272717714309568e+00,1.176644340546083578e+00
1.986381529569626103e+00,1.168531456316041384e+00
1.996490341424942194e+00,1.146080735864079436e+00
2.006599153280258285e+00,1.125821983177169194e+00
2.016707965135574376e+00,1.116739970444028396e+00
2.026816776990890467e+00,1.101582247749605559e+00
2.036925588846206558e+00,1.090591600905517655e+00
2.047034400701522650e+00,1.079148449304031754e+00
2.057143212556838741e+00,1.061240491741648029e+00
2.067252024412155276e+00,1.034971272688709698e+00
2.077360836267471367e+00,1.016509569615936748e+00
2.087469648122787458e+00,1.003329818188365863e+00
2.097578459978103993e+00,9.915917447410860230e-01
2.107687271833420084e+00,9.807930019573201097e-01
2.117796083688736175e+00,9.590140067808951008e-01
2.127904895544052266e+00,9.443447533588856802e-01
2.138013707399368357e+00,9.291013846770868057e-01
2.148122519254684448e+00,9.093980538099692978e-01
2.158231331110000539e+00,8.975701909027017367e-01
2.168340142965316630e+00,8.859969598750584430e-01
2.178448954820633165e+00,8.753409757905826760e-01
2.188557766675949257e+00,8.669460108381944474e-01
2.198666578531265348e+00,8.545811343768463519e-01
2.208775390386581439e+00,8.456911836697164064e-01
2.218884202241897530e+00,8.354553248334394278e-01
2.228993014097214065e+00,8.293534414085674822e-01
2.239101825952530156e+00,8.124367592125597559e-01
2.249210637807846247e+00,8.066450088216197134e-01
2.259319449663162338e+00,7.922821919299259941e-01
2.269428261518478429e+00,7.829259233217404912e-01
2.279537073373794520e+00,7.805572597241509092e-01
2.289645885229110611e+00,7.741852869022045613e-01
2.299754697084427146e+00,7.699570657574480448e-01
2.309863508939743237e+00,7.612276607184527144e-01
2.319972320795059328e+00,7.501542644022733963e-01
2.330081132650375864e+00,7.471251203488741277e-01
2.340189944505691955e+00,7.396027918080895214e-01
2.350298756361008046e+00,7.327685974662904167e-01
2.360407568216324137e+00,7.380255796666868040e-01
2.370516380071640228e+00,7.356882607015166053e-01
2.380625191926956319e+00,7.408586662610706641e-01
2.390734003782272410e+00,7.349968994620964535e-01
2.400842815637588501e+00,7.324536219523842817e-01
2.410951627492905036e+00,7.408371580486432517e-01
2.421060439348221127e+00,7.425758152638561871e-01
2.431169251203537218e+00,7.422497119793590725e-01
2.441278063058853309e+00,7.436048796772882774e-01
2.451386874914169400e+00,7.442746692234464279e-01
2.461495686769485491e+00,7.555418111074209131e-01
2.471604498624801582e+00,7.548271379132703851e-01
2.481713310480117674e+00,7.556718211982067501e-01
2.491822122335434209e+00,7.553387906925007611e-01
2.501930934190750300e+00,7.640598789774636357e-01
2.512039746046066391e+00,7.692757150056227511e-01
2.522148557901382482e+00,7.689552185042868304e-01
2.532257369756698573e+00,7.790485602880082849e-01
2.542366181612014664e+00,7.906501064853721505e-01
2.552474993467330755e+00,7.929892176486091904e-01
2.562583805322647290e+00,8.043934297087627083e-01
2.572692617177963381e+00,8.073447738237313764e-01
2.582801429033279472e+00,8.156994665869711225e-01
2.592910240888595563e+00,8.234745992925510683e-01
2.603019052743911654e+00,8.294949625954010086e-01
2.613127864599227745e+00,8.387604789258803484e-01
2.623236676454544281e+00,8.424559556242873226e-01
2.633345488309860372e+00,8.556875357312598851e-01
2.643454300165176463e+00,8.653316087187646888e-01
2.653563112020492554e+00,8.703257583942806130e-01
2.663671923875808645e+00,8.788338321030277900e-01
2.673780735731124736e+00,8.866037261561945382e-01
2.683889547586440827e+00,9.006945051320441875e-01
2.693998359441756918e+00,9.105115072797549391e-01
2.704107171297073009e+00,9.223440661933720586e-01
2.714215983152389988e+00,9.247759027109523355e-01
2.724324795007706079e+00,9.442916944494401665e-01
2.734433606863022170e+00,9.468248180290028682e-01
2.744542418718338261e+00,9.550727914444316902e-01
2.754651230573654352e+00,9.671740374090368464e-01
2.764760042428970443e+00,9.795015840567466991e-01
2.774868854284286535e+00,9.888999081632692256e-01
2.784977666139603070e+00,1.001878490222293250e+00
2.795086477994919161e+00,1.004867269060178758e+00
2.805195289850235252e+00,1.017860731305092692e+00
2.815304101705551343e+00,1.026096262385935765e+00
2.825412913560867434e+00,1.036130447397115573e+00
2.835521725416183525e+00,1.048817014501539191e+00
2.845630537271499616e+00,1.052979670098635134e+00
2.855739349126815707e+00,1.065277779101241773e+00
2.865848160982131798e+00,1.071369010892379459e+00
2.875956972837448333e+00,1.078696521072582737e+00
2.886065784692764424e+00,1.085288678784107841e+00
2.896174596548080515e+00,1.099128027689456832e+00
2.906283408403396606e+00,1.103136894603235385e+00
