r_A,g_r
4.161606431007385150e-03,0.000000000000000000e+00
1.248481929302215632e-02,0.000000000000000000e+00
2.080803215503692488e-02,0.000000000000000000e+00
2.913124501705169692e-02,0.000000000000000000e+00
3.745445787906646895e-02,0.000000000000000000e+00
4.577767074108124445e-02,0.000000000000000000e+00
5.410088360309600608e-02,0.000000000000000000e+00
6.242409646511078158e-02,0.000000000000000000e+00
7.074730932712554321e-02,0.000000000000000000e+00
7.907052218914031871e-02,0.000000000000000000e+00
8.739373505115510810e-02,0.000000000000000000e+00
9.571694791316986972e-02,0.000000000000000000e+00
1.040401607751846313e-01,0.000000000000000000e+00
1.123633736371993930e-01,0.000000000000000000e+00
1.206865864992141824e-01,0.000000000000000000e+00
1.290097993612289440e-01,0.000000000000000000e+00
1.373330122232437056e-01,0.000000000000000000e+00
1.456562250852584672e-01,0.000000000000000000e+00
1.539794379472732566e-01,0.000000000000000000e+00
1.623026508092880182e-01,0.000000000000000000e+00
1.706258636713027799e-01,0.000000000000000000e+00
1.789490765333175970e-01,0.000000000000000000e+00
1.872722893953323586e-01,0.000000000000000000e+00
1.955955022573471203e-01,0.000000000000000000e+00
2.039187151193618819e-01,0.000000000000000000e+00
2.122419279813766435e-01,0.000000000000000000e+00
2.205651408433914051e-01,0.000000000000000000e+00
2.288883537054061945e-01,0.000000000000000000e+00
2.372115665674209561e-01,0.000000000000000000e+00
2.455347794294357455e-01,0.000000000000000000e+00
2.538579922914505071e-01,0.000000000000000000e+00
2.621812051534652688e-01,0.000000000000000000e+00
2.705044180154800304e-01,0.000000000000000000e+00
2.788276308774947920e-01,0.000000000000000000e+00
2.871508437395095537e-01,0.000000000000000000e+00
2.954740566015243708e-01,0.000000000000000000e+00
3.037972694635391324e-01,0.000000000000000000e+00
3.121204823255538940e-01,0.000000000000000000e+00
3.204436951875686557e-01,0.000000000000000000e+00
3.287669080495834173e-01,0.000000000000000000e+00
3.370901209115981789e-01,0.000000000000000000e+00
3.454133337736129405e-01,0.000000000000000000e+00
3.537365466356277022e-01,0.000000000000000000e+00
3.620597594976425748e-01,0.000000000000000000e+00
3.703829723596573364e-01,0.000000000000000000e+00
3.787061852216720981e-01,0.000000000000000000e+00
3.870293980836868597e-01,0.000000000000000000e+00
3.953526109457016213e-01,0.000000000000000000e+00
4.036758238077163830e-01,0.000000000000000000e+00
4.119990366697311446e-01,0.000000000000000000e+00
4.203222495317459062e-01,0.000000000000000000e+00
4.286454623937606678e-01,0.000000000000000000e+00
4.369686752557754295e-01,0.000000000000000000e+00
4.452918881177902466e-01,0.000000000000000000e+00
4.536151009798050082e-01,0.000000000000000000e+00
4.619383138418197698e-01,0.000000000000000000e+00
4.702615267038345315e-01,0.000000000000000000e+00
4.785847395658492931e-01,0.000000000000000000e+00
4.869079524278640547e-01,0.000000000000000000e+00
4.952311652898788719e-01,0.000000000000000000e+00
5.035543781518936335e-01,0.000000000000000000e+00
5.118775910139083951e-01,0.000000000000000000e+00
5.202008038759231567e-01,0.000000000000000000e+00
5.285240167379379184e-01,0.000000000000000000e+00
5.368472295999526800e-01,0.000000000000000000e+00
5.451704424619674416e-01,0.000000000000000000e+00
5.534936553239822032e-01,0.000000000000000000e+00
5.618168681859969649e-01,0.000000000000000000e+00
5.701400810480117265e-01,0.000000000000000000e+00
5.784632939100265991e-01,0.000000000000000000e+00
5.867865067720413608e-01,0.000000000000000000e+00
5.951097196340561224e-01,0.000000000000000000e+00
6.034329324960708840e-01,0.000000000000000000e+00
6.117561453580856456e-01,0.000000000000000000e+00
6.200793582201004073e-01,0.000000000000000000e+00
6.284025710821151689e-01,0.000000000000000000e+00
6.367257839441299305e-01,0.000000000000000000e+00
6.450489968061446922e-01,0.000000000000000000e+00
6.533722096681594538e-01,0.000000000000000000e+00
6.616954225301742154e-01,0.000000000000000000e+00
6.700186353921889770e-01,0.000000000000000000e+00
6.783418482542037387e-01,0.000000000000000000e+00
6.866650611162185003e-01,0.000000000000000000e+00
6.949882739782332619e-01,0.000000000000000000e+00
7.033114868402480235e-01,0.000000000000000000e+00
7.116346997022627852e-01,0.000000000000000000e+00
7.199579125642775468e-01,0.000000000000000000e+00
7.282811254262924194e-01,0.000000000000000000e+00
7.366043382883071811e-01,0.000000000000000000e+00
7.449275511503219427e-01,0.000000000000000000e+00
7.532507640123367043e-01,0.000000000000000000e+00
7.615739768743514659e-01,0.000000000000000000e+00
7.698971897363662276e-01,0.000000000000000000e+00
7.782204025983809892e-01,0.000000000000000000e+00
7.865436154603957508e-01,0.000000000000000000e+00
7.948668283224105124e-01,0.000000000000000000e+00
8.031900411844252741e-01,0.000000000000000000e+00
8.115132540464400357e-01,0.000000000000000000e+00
8.198364669084547973e-01,0.000000000000000000e+00
8.281596797704695589e-01,0.000000000000000000e+00
8.364828926324843206e-01,0.000000000000000000e+00
8.448061054944990822e-01,0.000000000000000000e+00
8.531293183565138438e-01,0.000000000000000000e+00
8.614525312185286055e-01,0.000000000000000000e+00
8.697757440805433671e-01,0.000000000000000000e+00
8.780989569425583507e-01,0.000000000000000000e+00
8.864221698045731124e-01,8.001252956281554307e-03
8.947453826665878740e-01,5.183036680222630893e-02
9.030685955286026356e-01,2.543968891279532185e-01
9.113918083906173973e-01,6.766540243612685357e-01
9.197150212526321589e-01,1.687169610328684177e+00
9.280382341146469205e-01,3.225027874974149444e+00
9.363614469766616821e-01,6.198223907040677716e+00
9.446846598386764438e-01,1.015290045322263524e+01
9.530078727006912054e-01,1.458931371544418631e+01
9.613310855627059670e-01,1.872292579995203710e+01
9.696542984247207286e-01,2.182642714894763358e+01
9.779775112867354903e-01,2.434742465071400730e+01
9.863007241487502519e-01,2.512351259635160261e+01
9.946239370107651245e-01,2.404513827645579838e+01
1.002947149872779775e+00,2.145143786399276209e+01
1.011270362734794759e+00,1.779360514922012726e+01
1.019593575596809298e+00,1.396278760016932985e+01
1.027916788458824282e+00,1.038530105520367641e+01
1.036240001320838822e+00,7.195670235221395927e+00
1.044563214182853805e+00,5.131606521475199578e+00
1.052886427044868345e+00,3.479865395319532428e+00
