r_A,g_r
9.984827041625975175e-03,0.000000000000000000e+00
2.995448112487792899e-02,0.000000000000000000e+00
4.992413520812987587e-02,0.000000000000000000e+00
6.989378929138183316e-02,0.000000000000000000e+00
8.986344337463376963e-02,0.000000000000000000e+00
1.098330974578857339e-01,0.000000000000000000e+00
1.298027515411376842e-01,0.000000000000000000e+00
1.497724056243896207e-01,0.000000000000000000e+00
1.697420597076415849e-01,0.000000000000000000e+00
1.897117137908935214e-01,0.000000000000000000e+00
2.096813678741454856e-01,0.000000000000000000e+00
2.296510219573974498e-01,0.000000000000000000e+00
2.496206760406494141e-01,0.000000000000000000e+00
2.695903301239013228e-01,0.000000000000000000e+00
2.895599842071532870e-01,0.000000000000000000e+00
3.095296382904052512e-01,0.000000000000000000e+00
3.294992923736572155e-01,0.000000000000000000e+00
3.494689464569091797e-01,0.000000000000000000e+00
3.694386005401610884e-01,0.000000000000000000e+00
3.894082546234129971e-01,0.000000000000000000e+00
4.093779087066650169e-01,0.000000000000000000e+00
4.293475627899169256e-01,0.000000000000000000e+00
4.493172168731689453e-01,0.000000000000000000e+00
4.692868709564208540e-01,0.000000000000000000e+00
4.892565250396728738e-01,0.000000000000000000e+00
5.092261791229247825e-01,0.000000000000000000e+00
5.291958332061766912e-01,0.000000000000000000e+00
5.491654872894287109e-01,0.000000000000000000e+00
5.691351413726806197e-01,0.000000000000000000e+00
5.891047954559325284e-01,0.000000000000000000e+00
6.090744495391844371e-01,0.000000000000000000e+00
6.290441036224364568e-01,0.000000000000000000e+00
6.490137577056884766e-01,0.000000000000000000e+00
6.689834117889403853e-01,0.000000000000000000e+00
6.889530658721922940e-01,0.000000000000000000e+00
7.089227199554443137e-01,0.000000000000000000e+00
7.288923740386963335e-01,0.000000000000000000e+00
7.488620281219482422e-01,0.000000000000000000e+00
7.688316822052000399e-01,0.000000000000000000e+00
7.888013362884520596e-01,0.000000000000000000e+00
8.087709903717039683e-01,0.000000000000000000e+00
8.287406444549559881e-01,0.000000000000000000e+00
8.487102985382078968e-01,0.000000000000000000e+00
8.686799526214599165e-01,0.000000000000000000e+00
8.886496067047118252e-01,0.000000000000000000e+00
9.086192607879638450e-01,0.000000000000000000e+00
9.285889148712157537e-01,0.000000000000000000e+00
9.485585689544677734e-01,0.000000000000000000e+00
9.685282230377195711e-01,0.000000000000000000e+00
9.884978771209715909e-01,0.000000000000000000e+00
1.008467531204223500e+00,0.000000000000000000e+00
1.028437185287475408e+00,0.000000000000000000e+00
1.048406839370727539e+00,0.000000000000000000e+00
1.068376493453979448e+00,0.000000000000000000e+00
1.088346147537231356e+00,0.000000000000000000e+00
1.108315801620483265e+00,0.000000000000000000e+00
1.128285455703735174e+00,0.000000000000000000e+00
1.148255109786987305e+00,0.000000000000000000e+00
1.168224763870239213e+00,0.000000000000000000e+00
1.188194417953491122e+00,0.000000000000000000e+00
1.208164072036743031e+00,0.000000000000000000e+00
1.228133726119994940e+00,0.000000000000000000e+00
1.248103380203246848e+00,0.000000000000000000e+00
1.268073034286498757e+00,0.000000000000000000e+00
1.288042688369750888e+00,0.000000000000000000e+00
1.308012342453002574e+00,0.000000000000000000e+00
1.327981996536254927e+00,0.000000000000000000e+00
1.347951650619506614e+00,0.000000000000000000e+00
1.367921304702758967e+00,0.000000000000000000e+00
1.387890958786010653e+00,0.000000000000000000e+00
1.407860612869262784e+00,0.000000000000000000e+00
1.427830266952514471e+00,0.000000000000000000e+00
1.447799921035766602e+00,0.000000000000000000e+00
1.467769575119018288e+00,0.000000000000000000e+00
1.487739229202270419e+00,0.000000000000000000e+00
1.507708883285522328e+00,0.000000000000000000e+00
1.527678537368774014e+00,0.000000000000000000e+00
1.547648191452026367e+00,0.000000000000000000e+00
1.567617845535278054e+00,0.000000000000000000e+00
1.587587499618530185e+00,0.000000000000000000e+00
1.607557153701781871e+00,0.000000000000000000e+00
1.627526807785034002e+00,0.000000000000000000e+00
1.647496461868285689e+00,0.000000000000000000e+00
1.667466115951538042e+00,0.000000000000000000e+00
1.687435770034789728e+00,0.000000000000000000e+00
1.707405424118042081e+00,0.000000000000000000e+00
1.727375078201293768e+00,0.000000000000000000e+00
1.747344732284545898e+00,0.000000000000000000e+00
1.767314386367797585e+00,0.000000000000000000e+00
1.787284040451049716e+00,0.000000000000000000e+00
1.807253694534301403e+00,0.000000000000000000e+00
1.827223348617553755e+00,0.000000000000000000e+00
1.847193002700805442e+00,0.000000000000000000e+00
1.867162656784057795e+00,0.000000000000000000e+00
1.887132310867309481e+00,0.000000000000000000e+00
1.907101964950561612e+00,0.000000000000000000e+00
1.927071619033813299e+00,0.000000000000000000e+00
1.947041273117064986e+00,0.000000000000000000e+00
1.967010927200317116e+00,0.000000000000000000e+00
1.986980581283568803e+00,0.000000000000000000e+00
2.006950235366820934e+00,0.000000000000000000e+00
2.026919889450073065e+00,0.000000000000000000e+00
2.046889543533325195e+00,0.000000000000000000e+00
2.066859197616576882e+00,0.000000000000000000e+00
2.086828851699829013e+00,0.000000000000000000e+00
2.106798505783080699e+00,0.000000000000000000e+00
2.126768159866332830e+00,0.000000000000000000e+00
2.146737813949584517e+00,0.000000000000000000e+00
2.166707468032837092e+00,0.000000000000000000e+00
2.186677122116088334e+00,0.000000000000000000e+00
2.206646776199340909e+00,0.000000000000000000e+00
2.226616430282592596e+00,1.403401655881812921e-03
2.246586084365844727e+00,3.337574408670631893e-03
2.266555738449096413e+00,2.052952896066574315e-02
2.286525392532348544e+00,5.806598882462130073e-02
2.306495046615600231e+00,1.678216742287605978e-01
2.326464700698852361e+00,3.820035387062006293e-01
2.346434354782104492e+00,8.081257641064897301e-01
2.366404008865355735e+00,1.488315234786206309e+00
2.386373662948608310e+00,2.608519964038411576e+00
2.406343317031859996e+00,3.977911242538009429e+00
2.426312971115112127e+00,5.703648210839043386e+00
2.446282625198363814e+00,7.659549425823160895e+00
2.466252279281615944e+00,9.506696337407763764e+00
2.486221933364867631e+00,1.122378105312505703e+01
2.506191587448119762e+00,1.252023032802079960e+01
2.526161241531371893e+00,1.334675489134295745e+01
2.546130895614624023e+00,1.348528018053610289e+01
2.566100549697875710e+00,1.344165753961267917e+01
2.586070203781127841e+00,1.259870054898349601e+01
2.606039857864379528e+00,1.151396530727964773e+01
2.626009511947631214e+00,1.027520380228928687e+01
2.645979166030883345e+00,8.876135745775998842e+00
2.665948820114135920e+00,7.573839114934496131e+00
2.685918474197387162e+00,6.205948894718962272e+00
2.705888128280639293e+00,5.100632017510188021e+00
2.725857782363891424e+00,4.098679238878676578e+00
2.745827436447143555e+00,3.245975070375809235e+00
2.765797090530395241e+00,2.543619275629584564e+00
2.785766744613646928e+00,1.907288187451322115e+00
2.805736398696899059e+00,1.448542390891683018e+00
2.825706052780151190e+00,1.060866537490168460e+00
2.845675706863403320e+00,7.794911704755528303e-01
2.865645360946654563e+00,5.575129560532304795e-01
2.885615015029907138e+00,3.941382115762093186e-01
2.905584669113159269e+00,2.888867097086034175e-01
2.925554323196410955e+00,2.192794653236236624e-01
2.945523977279662642e+00,1.579847446292478863e-01
2.965493631362914773e+00,1.142643064854982765e-01
2.985463285446166459e+00,7.654377548842056234e-02
3.005432939529418590e+00,5.533999087470381495e-02
3.025402593612670721e+00,3.924851182794186766e-02
3.045372247695921963e+00,3.281261249784506867e-02
3.065341901779174538e+00,3.262031810750450067e-02
3.085311555862426669e+00,3.369974789675420079e-02
3.105281209945678356e+00,5.643357399866395091e-02
3.125250864028930042e+00,8.439687441058314754e-02
3.145220518112182173e+00,1.236046682595341173e-01
3.165190172195434748e+00,1.791454401114637995e-01
3.185159826278685991e+00,2.702141297206953063e-01
3.205129480361938121e+00,3.793611085283337681e-01
3.225099134445190252e+00,5.334280963163469114e-01
3.245068788528442383e+00,7.112625568991531866e-01
3.265038442611694069e+00,9.488537593376478174e-01
3.285008096694945756e+00,1.334765459409920085e+00
3.304977750778197887e+00,1.728440775460000411e+00
3.324947404861450018e+00,2.299711687064959431e+00
3.344917058944702148e+00,2.908186221874142774e+00
3.364886713027953391e+00,3.612968879392355337e+00
3.384856367111205966e+00,4.309596028387292499e+00
3.404826021194457653e+00,5.103493318269368473e+00
3.424795675277709783e+00,5.917006070731040346e+00
3.444765329360961470e+00,6.677358305752030709e+00
3.464734983444213157e+00,7.287199501417101821e+00
3.484704637527465287e+00,7.860738867076406677e+00
3.504674291610717418e+00,8.461407182639829827e+00
3.524643945693969549e+00,8.651082198754748376e+00
3.544613599777220792e+00,8.873439894796190330e+00
3.564583253860473366e+00,8.955578107691277268e+00
3.584552907943725497e+00,8.755380790052459616e+00
3.604522562026977184e+00,8.605620344204576000e+00
3.624492216110228870e+00,8.407300476510757292e+00
3.644461870193481001e+00,8.097992580165358945e+00
3.664431524276733576e+00,7.696459501337545639e+00
3.684401178359984819e+00,7.390185836492826787e+00
3.704370832443236949e+00,6.879708053835670967e+00
3.724340486526489080e+00,6.292864860421794937e+00
3.744310140609741211e+00,5.649106475372970060e+00
3.764279794692992898e+00,4.997271249075626365e+00
3.784249448776244584e+00,4.399554452529688575e+00
3.804219102859496715e+00,3.698465551358494974e+00
3.824188756942748846e+00,3.069185437067358357e+00
3.844158411026000977e+00,2.525826795412904779e+00
3.864128065109252219e+00,1.949508610240461737e+00
3.884097719192504350e+00,1.499743137353988676e+00
3.904067373275756481e+00,1.124574126755542025e+00
3.924037027359008611e+00,8.472942058998396142e-01
3.944006681442260298e+00,6.001126406019023918e-01
3.963976335525511985e+00,4.382839031024116094e-01
3.983945989608764116e+00,3.534012102850706549e-01
4.003915643692016246e+00,2.968435789852067463e-01
4.023885297775268377e+00,2.827997376259399065e-01
4.043854951858519620e+00,3.158662193583536837e-01
4.063824605941771750e+00,3.664980199280256645e-01
4.083794260025024769e+00,4.613383859121173991e-01
4.103763914108276012e+00,5.832839959595021995e-01
4.123733568191527254e+00,7.313205048101100170e-01
4.143703222274780273e+00,9.228921570799895058e-01
4.163672876358032404e+00,1.176120188999237648e+00
4.183642530441283647e+00,1.406008305175656004e+00
4.203612184524535778e+00,1.658095064802648677e+00
4.223581838607787908e+00,1.926897151302634725e+00
