r_A,g_r
5.701404809951782920e-03,0.000000000000000000e+00
1.710421442985534529e-02,0.000000000000000000e+00
2.850702404975891460e-02,0.000000000000000000e+00
3.990983366966247003e-02,0.000000000000000000e+00
5.131264328956604975e-02,0.000000000000000000e+00
6.271545290946961559e-02,0.000000000000000000e+00
7.411826252937317450e-02,0.000000000000000000e+00
8.552107214927674728e-02,0.000000000000000000e+00
9.692388176918030618e-02,0.000000000000000000e+00
1.083266913890838790e-01,0.000000000000000000e+00
1.197295010089874379e-01,0.000000000000000000e+00
1.311323106288909968e-01,0.000000000000000000e+00
1.425351202487945557e-01,0.000000000000000000e+00
1.539379298686981423e-01,0.000000000000000000e+00
1.653407394886017012e-01,0.000000000000000000e+00
1.767435491085052601e-01,0.000000000000000000e+00
1.881463587284088190e-01,0.000000000000000000e+00
1.995491683483123779e-01,0.000000000000000000e+00
2.109519779682159646e-01,0.000000000000000000e+00
2.223547875881195512e-01,0.000000000000000000e+00
2.337575972080230824e-01,0.000000000000000000e+00
2.451604068279266690e-01,0.000000000000000000e+00
2.565632164478302002e-01,0.000000000000000000e+00
2.679660260677337869e-01,0.000000000000000000e+00
2.793688356876373180e-01,0.000000000000000000e+00
2.907716453075409047e-01,0.000000000000000000e+00
3.021744549274444913e-01,0.000000000000000000e+00
3.135772645473480780e-01,0.000000000000000000e+00
3.249800741672516091e-01,0.000000000000000000e+00
3.363828837871551958e-01,0.000000000000000000e+00
3.477856934070587824e-01,0.000000000000000000e+00
3.591885030269623136e-01,0.000000000000000000e+00
3.705913126468658447e-01,0.000000000000000000e+00
3.819941222667694314e-01,0.000000000000000000e+00
3.933969318866730180e-01,0.000000000000000000e+00
4.047997415065765492e-01,0.000000000000000000e+00
4.162025511264800803e-01,0.000000000000000000e+00
4.276053607463836670e-01,0.000000000000000000e+00
4.390081703662873092e-01,0.000000000000000000e+00
4.504109799861908403e-01,0.000000000000000000e+00
4.618137896060944270e-01,0.000000000000000000e+00
4.732165992259979581e-01,0.000000000000000000e+00
4.846194088459015448e-01,0.000000000000000000e+00
4.960222184658050759e-01,0.000000000000000000e+00
5.074250280857086626e-01,0.000000000000000000e+00
