r_A,g_r
3.076999783515930488e-03,0.000000000000000000e+00
9.230999350547790597e-03,0.000000000000000000e+00
1.538499891757965157e-02,0.000000000000000000e+00
2.153899848461151081e-02,0.000000000000000000e+00
2.769299805164337352e-02,0.000000000000000000e+00
3.384699761867523971e-02,0.000000000000000000e+00
4.000099718570709201e-02,0.000000000000000000e+00
4.615499675273895125e-02,0.000000000000000000e+00
5.230899631977081743e-02,0.000000000000000000e+00
5.846299588680267667e-02,0.000000000000000000e+00
6.461699545383453591e-02,0.000000000000000000e+00
7.077099502086639515e-02,0.000000000000000000e+00
7.692499458789825439e-02,0.000000000000000000e+00
8.307899415493011364e-02,0.000000000000000000e+00
8.923299372196197288e-02,0.000000000000000000e+00
9.538699328899384600e-02,0.000000000000000000e+00
1.015409928560256914e-01,0.000000000000000000e+00
1.076949924230575784e-01,0.000000000000000000e+00
1.138489919900894098e-01,0.000000000000000000e+00
1.200029915571212968e-01,0.000000000000000000e+00
1.261569911241531283e-01,0.000000000000000000e+00
1.323109906911849876e-01,0.000000000000000000e+00
1.384649902582168746e-01,0.000000000000000000e+00
1.446189898252487060e-01,0.000000000000000000e+00
1.507729893922805930e-01,0.000000000000000000e+00
1.569269889593124523e-01,0.000000000000000000e+00
1.630809885263442838e-01,0.000000000000000000e+00
1.692349880933761708e-01,0.000000000000000000e+00
1.753889876604080578e-01,0.000000000000000000e+00
1.815429872274398893e-01,0.000000000000000000e+00
1.876969867944717207e-01,0.000000000000000000e+00
1.938509863615036077e-01,0.000000000000000000e+00
2.000049859285354670e-01,0.000000000000000000e+00
2.061589854955673262e-01,0.000000000000000000e+00
2.123129850625991855e-01,0.000000000000000000e+00
2.184669846296310447e-01,0.000000000000000000e+00
2.246209841966629039e-01,0.000000000000000000e+00
2.307749837636947909e-01,0.000000000000000000e+00
2.369289833307266502e-01,0.000000000000000000e+00
2.430829828977584817e-01,0.000000000000000000e+00
2.492369824647903687e-01,0.000000000000000000e+00
2.553909820318222001e-01,0.000000000000000000e+00
2.615449815988540871e-01,0.000000000000000000e+00
2.676989811658859186e-01,0.000000000000000000e+00
2.738529807329177501e-01,0.000000000000000000e+00
2.800069802999496371e-01,0.000000000000000000e+00
2.861609798669815241e-01,0.000000000000000000e+00
2.923149794340134111e-01,0.000000000000000000e+00
2.984689790010452426e-01,0.000000000000000000e+00
3.046229785680770741e-01,0.000000000000000000e+00
3.107769781351089611e-01,0.000000000000000000e+00
3.169309777021407371e-01,0.000000000000000000e+00
3.230849772691726796e-01,0.000000000000000000e+00
3.292389768362046221e-01,0.000000000000000000e+00
3.353929764032363980e-01,0.000000000000000000e+00
3.415469759702682850e-01,0.000000000000000000e+00
3.477009755373000610e-01,0.000000000000000000e+00
3.538549751043319480e-01,0.000000000000000000e+00
3.600089746713638905e-01,0.000000000000000000e+00
3.661629742383956665e-01,0.000000000000000000e+00
3.723169738054276090e-01,0.000000000000000000e+00
3.784709733724594405e-01,0.000000000000000000e+00
3.846249729394912720e-01,0.000000000000000000e+00
3.907789725065231590e-01,0.000000000000000000e+00
3.969329720735549349e-01,0.000000000000000000e+00
4.030869716405868775e-01,0.000000000000000000e+00
4.092409712076187089e-01,0.000000000000000000e+00
4.153949707746505959e-01,0.000000000000000000e+00
4.215489703416824829e-01,0.000000000000000000e+00
4.277029699087142589e-01,0.000000000000000000e+00
4.338569694757461459e-01,0.000000000000000000e+00
4.400109690427780884e-01,0.000000000000000000e+00
4.461649686098098644e-01,0.000000000000000000e+00
4.523189681768418069e-01,0.000000000000000000e+00
4.584729677438735829e-01,0.000000000000000000e+00
4.646269673109054699e-01,0.000000000000000000e+00
4.707809668779373569e-01,0.000000000000000000e+00
4.769349664449691328e-01,0.000000000000000000e+00
4.830889660120010753e-01,0.000000000000000000e+00
4.892429655790329068e-01,0.000000000000000000e+00
4.953969651460647938e-01,0.000000000000000000e+00
5.015509647130966808e-01,0.000000000000000000e+00
5.077049642801284568e-01,0.000000000000000000e+00
